Transaction_ID,Part_ID,Vendor_ID,Transaction_Type,Quantity,Purchase_Order_Date,Promised_Date,Transaction_Date,Out_Reason
T00001,P118,V033,OUT,34,,,21-08-2024,Repair
T00002,P011,V033,IN,24,27-08-2023,03-09-2023,01-09-2023,
T00003,P016,V026,IN,73,15-09-2023,27-09-2023,27-09-2023,
T00004,P085,V027,IN,75,28-09-2023,21-10-2023,20-10-2023,
T00005,P092,V043,IN,41,17-05-2024,29-05-2024,29-05-2024,
T00006,P041,V030,OUT,48,,,09-06-2025,Maintenance
T00007,P080,V030,IN,73,14-01-2024,22-01-2024,22-01-2024,
T00008,P120,V009,OUT,22,,,06-04-2025,Maintenance
T00009,P037,V024,IN,21,23-09-2023,12-10-2023,17-10-2023,
T00010,P105,V043,IN,71,31-08-2023,14-09-2023,16-09-2023,
T00011,P015,V017,IN,14,01-03-2024,29-03-2024,28-03-2024,
T00012,P027,V039,OUT,46,,,26-10-2024,Replacement
T00013,P082,V044,IN,34,30-10-2023,20-11-2023,20-11-2023,
T00014,P055,V041,IN,36,25-04-2024,01-05-2024,01-05-2024,
T00015,P095,V011,OUT,28,,,23-10-2024,Routine Check
T00016,P002,V036,OUT,7,,,14-04-2025,Maintenance
T00017,P005,V035,IN,48,22-12-2023,14-01-2024,13-01-2024,
T00018,P040,V003,IN,47,23-05-2024,22-06-2024,23-06-2024,
T00019,P088,V014,OUT,16,,,27-09-2024,Maintenance
T00020,P072,V050,OUT,26,,,28-03-2025,Routine Check
T00021,P120,V060,IN,31,25-12-2023,04-01-2024,07-01-2024,
T00022,P023,V002,OUT,47,,,23-08-2024,Replacement
T00023,P086,V052,OUT,47,,,11-11-2024,Repair
T00024,P101,V011,OUT,45,,,30-07-2025,Maintenance
T00025,P005,V056,OUT,30,,,10-08-2025,Repair
T00026,P118,V053,IN,59,15-11-2023,01-12-2023,01-12-2023,
T00027,P085,V002,IN,25,11-12-2023,28-12-2023,28-12-2023,
T00028,P083,V023,OUT,33,,,13-08-2025,Emergency
T00029,P015,V002,OUT,17,,,14-06-2025,Repair
T00030,P014,V003,OUT,38,,,29-12-2024,Emergency
T00031,P101,V047,OUT,20,,,03-08-2025,Emergency
T00032,P116,V025,IN,74,30-12-2023,10-01-2024,08-01-2024,
T00033,P067,V001,OUT,34,,,03-09-2024,Repair
T00034,P009,V028,OUT,43,,,16-07-2025,Replacement
T00035,P109,V043,OUT,8,,,11-08-2025,Replacement
T00036,P053,V043,OUT,21,,,15-12-2024,Emergency
T00037,P017,V036,OUT,12,,,26-10-2024,Emergency
T00038,P096,V044,OUT,11,,,24-10-2024,Routine Check
T00039,P071,V026,OUT,0,,,13-05-2025,Replacement
T00040,P056,V014,OUT,37,,,05-11-2024,Routine Check
T00041,P057,V030,OUT,28,,,23-12-2024,Repair
T00042,P116,V051,OUT,47,,,12-09-2024,Repair
T00043,P066,V019,IN,85,28-07-2024,22-08-2024,24-08-2024,
T00044,P040,V044,IN,29,28-07-2024,27-08-2024,27-08-2024,
T00045,P061,V016,IN,79,04-02-2024,04-03-2024,03-03-2024,
T00046,P090,V046,IN,50,17-12-2023,06-01-2024,06-01-2024,
T00047,P097,V058,IN,99,29-12-2023,06-01-2024,10-01-2024,
T00048,P090,V052,IN,67,25-08-2023,13-09-2023,13-09-2023,
T00049,P018,V030,IN,60,09-01-2024,04-02-2024,02-02-2024,
T00050,P115,V049,OUT,28,,,26-03-2025,Routine Check
T00051,P117,V054,OUT,35,,,01-01-2025,Emergency
T00052,P111,V048,IN,61,16-11-2023,05-12-2023,05-12-2023,
T00053,P100,V050,OUT,33,,,18-06-2025,Emergency
T00054,P057,V018,IN,10,25-03-2024,21-04-2024,20-04-2024,
T00055,P115,V021,OUT,35,,,28-08-2024,Maintenance
T00056,P030,V010,IN,50,04-09-2023,01-10-2023,01-10-2023,
T00057,P053,V027,IN,43,11-10-2023,02-11-2023,02-11-2023,
T00058,P054,V054,IN,50,22-08-2023,20-09-2023,18-09-2023,
T00059,P113,V055,IN,98,06-08-2024,29-08-2024,29-08-2024,
T00060,P097,V020,OUT,25,,,07-11-2024,Emergency
T00061,P029,V032,IN,35,10-05-2024,28-05-2024,27-05-2024,
T00062,P087,V043,OUT,26,,,02-09-2024,Repair
T00063,P017,V059,OUT,40,,,28-04-2025,Routine Check
T00064,P051,V059,IN,76,01-02-2024,24-02-2024,26-02-2024,
T00065,P111,V009,OUT,30,,,03-11-2024,Repair
T00066,P049,V017,IN,42,28-03-2024,08-04-2024,07-04-2024,
T00067,P097,V018,OUT,27,,,25-10-2024,Replacement
T00068,P003,V031,IN,96,11-05-2024,02-06-2024,01-06-2024,
T00069,P009,V042,IN,100,07-06-2024,02-07-2024,02-07-2024,
T00070,P108,V013,IN,3,21-02-2024,16-03-2024,16-03-2024,
T00071,P015,V043,OUT,36,,,17-09-2024,Repair
T00072,P033,V045,OUT,49,,,17-05-2025,Replacement
T00073,P078,V039,IN,96,20-10-2023,16-11-2023,16-11-2023,
T00074,P075,V007,OUT,2,,,14-06-2025,Replacement
T00075,P092,V026,OUT,13,,,17-11-2024,Maintenance
T00076,P090,V007,IN,99,12-10-2023,26-10-2023,05-11-2023,
T00077,P073,V051,IN,6,11-03-2024,27-03-2024,25-03-2024,
T00078,P065,V005,OUT,41,,,13-02-2025,Replacement
T00079,P054,V055,IN,63,04-01-2024,12-01-2024,11-01-2024,
T00080,P020,V046,OUT,28,,,29-09-2024,Repair
